Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
3/22/2021,Police,SCANNA MSC INC,Police Equipment,0.69
3/22/2021,Police,SCANNA MSC INC,Police Equipment,105.22
3/22/2021,Police,SCANNA MSC INC,Police Equipment,21.94
3/22/2021,Police,SCANNA MSC INC,Police Equipment,"3,382.88"
3/16/2021,Public Works,1-800 RADIATOR,Inventories-Offline,134.29
3/16/2021,Public Works,1-800 RADIATOR,Inventories-Offline,0.37
3/15/2021,Fire,139FIRE LLC,Train/Dev-Cons/Instr,"37,500.00"
3/3/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"9,384.00"
3/3/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"18,087.92"
3/3/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"15,136.00"
3/3/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"5,544.00"
3/3/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"16,128.00"
3/3/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"12,755.52"
3/3/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"15,263.28"
3/3/2021,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"14,035.20"
3/8/2021,Police,2831 INDIAN SCHOOL LLC,Vehicle Cleaning,78.00
3/8/2021,Public Works,2831 INDIAN SCHOOL LLC,Miscellaneous,36.00
3/23/2021,Public Works,2831 INDIAN SCHOOL LLC,Miscellaneous,21.00
3/29/2021,Police,2831 INDIAN SCHOOL LLC,Vehicle Cleaning,75.00
3/15/2021,Public Transit,2ND DIMENSION DESIGN STUDIO LLC,Reloc Costs-HUD Hsng,"2,500.00"
3/3/2021,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,"1,125.00"
3/3/2021,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,"1,249.50"
3/4/2021,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,525.00
3/23/2021,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,"1,462.50"
3/24/2021,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,"1,125.00"
3/8/2021,Street Transportation,3M COMPANY,Inventories,"8,307.90"
3/8/2021,Street Transportation,3M COMPANY,Inventories,-35.7
3/8/2021,Street Transportation,3M COMPANY,Inventories,-17.85
3/8/2021,Aviation,3M COMPANY,Inventories,"3,323.16"
3/8/2021,Aviation,3M COMPANY,Inventories,-21.42
3/9/2021,Street Transportation,3M COMPANY,Inventories,"5,538.60"
3/9/2021,Street Transportation,3M COMPANY,Inventories,-35.7
3/9/2021,Street Transportation,3M COMPANY,Inventories,"1,527.18"
3/9/2021,Street Transportation,3M COMPANY,Inventories,-9.84
3/1/2021,Housing,911 INTERPRETERS INC,Interpreters/Transl,6.24
3/1/2021,Housing,911 INTERPRETERS INC,Interpreters/Transl,83.72
3/1/2021,Housing,911 INTERPRETERS INC,Interpreters/Transl,127.40
3/1/2021,Housing,911 INTERPRETERS INC,Interpreters/Transl,22.88
3/1/2021,Housing,911 INTERPRETERS INC,Interpreters/Transl,9.36
3/1/2021,Law,911 INTERPRETERS INC,Interpreters/Transl,24.96
3/4/2021,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,88.40
3/4/2021,Neighborhood Services,911 INTERPRETERS INC,Interpreters/Transl,2.60
