Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
8/4/2020,Office of Arts and Culture,ABUSHHAB NADER,Emergency Assistance,"1,500.00"
8/3/2020,Office of Arts and Culture,"BRAZIE, KATHLEEN MARIE",Emergency Assistance,750.00
8/14/2020,Street Transportation,2001 N 3RD ST LLC,Easement Purchase,"2,600.00"
8/26/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"15,977.28"
8/26/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"5,280.00"
8/26/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"13,422.96"
8/26/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"15,795.72"
8/26/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"14,361.60"
8/26/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"8,415.00"
8/26/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"16,128.00"
8/19/2020,Police,2831 INDIAN SCHOOL LLC,Motor Vehicle Repair,81.00
8/19/2020,Police,2831 INDIAN SCHOOL LLC,Vehicle Cleaning,99.00
8/19/2020,Public Works,2831 INDIAN SCHOOL LLC,Miscellaneous,54.00
8/5/2020,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,562.50
8/6/2020,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,787.50
8/27/2020,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,"1,450.50"
8/5/2020,Aviation,3M COMPANY,Signage,-14.21
8/5/2020,Aviation,3M COMPANY,Signage,"2,216.08"
8/6/2020,Aviation,3M COMPANY,Signage,-7.21
8/6/2020,Aviation,3M COMPANY,Signage,"1,125.04"
8/20/2020,Street Transportation,3M COMPANY,Paint Supplies,-10.51
8/20/2020,Street Transportation,3M COMPANY,Paint Supplies,"1,630.91"
8/26/2020,Street Transportation,3M COMPANY,Inventories,-162.72
8/26/2020,Street Transportation,3M COMPANY,Inventories,"9,173.20"
8/26/2020,Street Transportation,3M COMPANY,Inventories,-10.83
8/26/2020,Street Transportation,3M COMPANY,Inventories,"1,680.86"
8/31/2020,Street Transportation,3M COMPANY,Inventories,"2,241.15"
8/31/2020,Street Transportation,3M COMPANY,Inventories,-14.45
8/31/2020,Street Transportation,3M COMPANY,Inventories,"16,961.96"
8/31/2020,Street Transportation,3M COMPANY,Inventories,-109.33
8/31/2020,Street Transportation,3M COMPANY,Inventories,"12,461.86"
8/31/2020,Street Transportation,3M COMPANY,Inventories,-74.97
8/31/2020,Street Transportation,3M COMPANY,Inventories,-5.36
8/31/2020,Street Transportation,7134 THOMAS RD LLC,Easement Purchase,"10,200.00"
8/3/2020,Human Services,911 INTERPRETERS INC,Interpreters/Transl,8.84
8/3/2020,Aviation,911 INTERPRETERS INC,Interpreters/Transl,69.16
8/3/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,115.96
8/17/2020,Human Services,911 INTERPRETERS INC,Interpreters/Transl,16.64
8/17/2020,Human Services,911 INTERPRETERS INC,Interpreters/Transl,972.40
8/12/2020,Aviation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,230.56
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,0.01
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,60.92
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,291.05
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,230.23
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,664.63
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,-0.01
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,578.28
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,234.23
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,440.48
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,0.01
8/19/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,71.93
8/26/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,382.25
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,38.87
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,32.42
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,0.01
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,33.75
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,15.57
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,175.32
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,46.74
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,44.42
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,31.15
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,77.87
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,103.82
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,31.15
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,24.00
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,26.20
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,-0.01
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,2.91
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,51.80
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,6.52
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,25.91
8/26/2020,Street Transportation,A & G TURF EQUIPMENT INC,Motor Vehicle Parts,-0.01
8/5/2020,Public Works,A & H PAINTING,Painting Services,420.00
8/5/2020,Public Works,A & H PAINTING,Painting Services,80.00
8/5/2020,Public Works,A & H PAINTING,Painting Services,"5,967.50"
8/13/2020,Housing,A & H PAINTING,Painting Services,"1,000.00"
8/13/2020,Housing,A & H PAINTING,Painting Services,420.00
8/13/2020,Housing,A & H PAINTING,Painting Services,60.00
8/13/2020,Housing,A & H PAINTING,Painting Services,311.20
8/13/2020,Housing,A & H PAINTING,Painting Services,133.00
8/13/2020,Housing,A & H PAINTING,Painting Services,399.00
8/13/2020,Housing,A & H PAINTING,Painting Services,"1,711.60"
8/13/2020,Housing,A & H PAINTING,Painting Services,97.25
8/13/2020,Housing,A & H PAINTING,Painting Services,80.00
8/13/2020,Housing,A & H PAINTING,Painting Services,36.00
8/13/2020,Housing,A & H PAINTING,Painting Services,420.00
8/13/2020,Housing,A & H PAINTING,Painting Services,12.00
8/13/2020,Housing,A & H PAINTING,Painting Services,60.00
8/13/2020,Housing,A & H PAINTING,Painting Services,420.00
8/13/2020,Housing,A & H PAINTING,Painting Services,120.00
8/13/2020,Housing,A & H PAINTING,Painting Services,"1,630.30"
8/13/2020,Housing,A & H PAINTING,Painting Services,57.60
8/13/2020,Housing,A & H PAINTING,Painting Services,9.60
8/13/2020,Housing,A & H PAINTING,Painting Services,232.90
8/13/2020,Housing,A & H PAINTING,Painting Services,720.00
8/13/2020,Housing,A & H PAINTING,Painting Services,250.00
8/13/2020,Housing,A & H PAINTING,Painting Services,80.00
8/13/2020,Housing,A & H PAINTING,Painting Services,12.00
8/13/2020,Housing,A & H PAINTING,Painting Services,115.20
8/13/2020,Housing,A & H PAINTING,Painting Services,9.60
8/26/2020,Housing,A & H PAINTING,Painting Services,"1,316.70"
8/26/2020,Housing,A & H PAINTING,Painting Services,130.00
8/26/2020,Housing,A & H PAINTING,Painting Services,150.00
8/26/2020,Housing,A & H PAINTING,Painting Services,188.10
8/26/2020,Housing,A & H PAINTING,Painting Services,100.00
8/26/2020,Housing,A & H PAINTING,Painting Services,455.00
8/26/2020,Housing,A & H PAINTING,Painting Services,65.00
8/26/2020,Housing,A & H PAINTING,Painting Services,62.70
8/26/2020,Housing,A & H PAINTING,Painting Services,10.45
8/26/2020,Housing,A & H PAINTING,Painting Services,62.70
8/26/2020,Housing,A & H PAINTING,Painting Services,10.45
8/26/2020,Housing,A & H PAINTING,Painting Services,125.00
8/26/2020,Housing,A & H PAINTING,Painting Services,80.00
8/26/2020,Housing,A & H PAINTING,Painting Services,12.00
8/26/2020,Housing,A & H PAINTING,Painting Services,493.30
8/26/2020,Housing,A & H PAINTING,Painting Services,232.20
8/26/2020,Housing,A & H PAINTING,Painting Services,696.60
8/26/2020,Housing,A & H PAINTING,Painting Services,"2,713.15"
8/26/2020,Housing,A & H PAINTING,Painting Services,42.00
8/26/2020,Housing,A & H PAINTING,Painting Services,490.00
8/26/2020,Housing,A & H PAINTING,Painting Services,60.00
8/26/2020,Housing,A & H PAINTING,Painting Services,134.25
8/26/2020,Housing,A & H PAINTING,Painting Services,65.00
8/26/2020,Housing,A & H PAINTING,Painting Services,455.00
8/26/2020,Housing,A & H PAINTING,Painting Services,9.00
